REFERENCE POINT,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes,Variance
/Devices/Shirley-MA/South/ESS/Meter/VAphA,ESS.Meter.VAphA,VA,,>h,FALSE,40154,,,
/Devices/Shirley-MA/South/ESS/Meter/VAphB,ESS.Meter.VAphB,VA,,>h,FALSE,40155,,,
/Devices/Shirley-MA/South/ESS/Meter/VAphC,ESS.Meter.VAphC,VA,,>h,FALSE,40156,,,
/Devices/Shirley-MA/South/ESS/Meter/VA_SF,ESS.Meter.VA_SF,,,>H,FALSE,40157,,Apparent Power scale factor,
/Devices/Shirley-MA/South/ESS/Meter/VAR,ESS.Meter.VAR,var,,>h,FALSE,40158,,Reactive Power,
/Devices/Shirley-MA/South/ESS/Meter/VARphA,ESS.Meter.VARphA,var,,>h,FALSE,40159,,,
/Devices/Shirley-MA/South/ESS/Meter/VARphB,ESS.Meter.VARphB,var,,>h,FALSE,40160,,,
/Devices/Shirley-MA/South/ESS/Meter/VARphC,ESS.Meter.VARphC,var,,>h,FALSE,40161,,,
/Devices/Shirley-MA/South/ESS/Meter/PF,ESS.Meter.PF,Pct,,>h,FALSE,40163,,Power Factor,
/Devices/Shirley-MA/South/ESS/Meter/PFphA,ESS.Meter.PFphA,Pct,,>h,FALSE,40164,,,
/Devices/Shirley-MA/South/ESS/Meter/PFphB,ESS.Meter.PFphB,Pct,,>h,FALSE,40165,,,
/Devices/Shirley-MA/South/ESS/Meter/PFphC,ESS.Meter.PFphC,Pct,,>h,FALSE,40166,,,
/Devices/Shirley-MA/South/ESS/Meter/PF_SF,ESS.Meter.PF_SF,,,>H,FALSE,40167,,Power Factor scale factor,
/Devices/Shirley-MA/South/ESS/Meter/TotWhExp,ESS.Meter.TotWhExp,Wh,,>I,FALSE,40168,,Total Real Energy Exported,
/Devices/Shirley-MA/South/ESS/Meter/TotWhExpPhA,ESS.Meter.TotWhExpPhA,Wh,,>I,FALSE,40170,,,
/Devices/Shirley-MA/South/ESS/Meter/TotWhExpPhB,ESS.Meter.TotWhExpPhB,Wh,,>I,FALSE,40172,,,
/Devices/Shirley-MA/South/ESS/Meter/TotWhExpPhC,ESS.Meter.TotWhExpPhC,Wh,,>I,FALSE,40174,,,
/Devices/Shirley-MA/South/ESS/Meter/TotWhImp,ESS.Meter.TotWhImp,Wh,,>I,FALSE,40176,,Total Real Energy Imported,
/Devices/Shirley-MA/South/ESS/Meter/TotWhImpPhA,ESS.Meter.TotWhImpPhA,Wh,,>I,FALSE,40178,,,
/Devices/Shirley-MA/South/ESS/Meter/TotWhImpPhB,ESS.Meter.TotWhImpPhB,Wh,,>I,FALSE,40180,,,
/Devices/Shirley-MA/South/ESS/Meter/TotWhImpPhC,ESS.Meter.TotWhImpPhC,Wh,,>I,FALSE,40182,,,
/Devices/Shirley-MA/South/ESS/Meter/TotWH_SF,ESS.Meter.TotWH_SF,,,>H,FALSE,40184,,Real Energy scale factor,
/Devices/Shirley-MA/South/ESS/Meter/TotVAhExp,ESS.Meter.TotVAhExp,VAh,,>I,FALSE,40185,,Total Apparent Energy Exported,
/Devices/Shirley-MA/South/ESS/Meter/TotVAhExpPhA,ESS.Meter.TotVAhExpPhA,VAh,,>I,FALSE,40187,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVAhExpPhB,ESS.Meter.TotVAhExpPhB,VAh,,>I,FALSE,40189,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVAhExpPhC,ESS.Meter.TotVAhExpPhC,VAh,,>I,FALSE,40191,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVAhImp,ESS.Meter.TotVAhImp,VAh,,>I,FALSE,40193,,Total Apparent Energy Imported,
/Devices/Shirley-MA/South/ESS/Meter/TotVAhImpPhA,ESS.Meter.TotVAhImpPhA,VAh,,>I,FALSE,40195,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVAhImpPhB,ESS.Meter.TotVAhImpPhB,VAh,,>I,FALSE,40197,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVAhImpPhC,ESS.Meter.TotVAhImpPhC,VAh,,>I,FALSE,40199,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhImpQ1,ESS.Meter.TotVArhImpQ1,varh,,>I,FALSE,40202,,Total Reactive Energy Imported Quadrant 1,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhImpQ1PhA,ESS.Meter.TotVArhImpQ1PhA,varh,,>I,FALSE,40204,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhImpQ1PhB,ESS.Meter.TotVArhImpQ1PhB,varh,,>I,FALSE,40206,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhImpQ1PhC,ESS.Meter.TotVArhImpQ1PhC,varh,,>I,FALSE,40208,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhImpQ2,ESS.Meter.TotVArhImpQ2,varh,,>I,FALSE,40210,,Total Reactive Power Imported Quadrant 2,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhImpQ2PhA,ESS.Meter.TotVArhImpQ2PhA,varh,,>I,FALSE,40212,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhImpQ2PhB,ESS.Meter.TotVArhImpQ2PhB,varh,,>I,FALSE,40214,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhImpQ2PhC,ESS.Meter.TotVArhImpQ2PhC,varh,,>I,FALSE,40216,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhExpQ3,ESS.Meter.TotVArhExpQ3,varh,,>I,FALSE,40218,,Total Reactive Power Exported Quadrant 3,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhExpQ3PhA,ESS.Meter.TotVArhExpQ3PhA,varh,,>I,FALSE,40220,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhExpQ3PhB,ESS.Meter.TotVArhExpQ3PhB,varh,,>I,FALSE,40222,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhExpQ3PhC,ESS.Meter.TotVArhExpQ3PhC,varh,,>I,FALSE,40224,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhExpQ4,ESS.Meter.TotVArhExpQ4,varh,,>I,FALSE,40226,,Total Reactive Power Exported Quadrant 4,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhExpQ4PhA,ESS.Meter.TotVArhExpQ4PhA,varh,,>I,FALSE,40228,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhExpQ4PhB,ESS.Meter.TotVArhExpQ4PhB,varh,,>I,FALSE,40230,,,
/Devices/Shirley-MA/South/ESS/Meter/TotVArhExpQ4PhC,ESS.Meter.TotVArhExpQ4PhC,varh,,>I,FALSE,40232,,,
/Devices/Shirley-MA/South/ESS/Meter/VAr_SF,ESS.Meter.VAr_SF,,,>H,FALSE,40162,,Reactive Power scale factor,
/Devices/Shirley-MA/South/ESS/Meter/Evt,ESS.Meter.Evt,,,>I,FALSE,40235,,Meter Event Flags,
/Devices/Shirley-MA/South/Inverters/1/DC_Voltage,Inverters.1.DC_Voltage,,,>h,FALSE,40582,,Solectria pass through register,
/Devices/Shirley-MA/South/Inverters/1/AC_Grid_Frequency,Inverters.1.AC_Grid_Frequency,,,>h,FALSE,40583,,Solectria pass through register,
