2013-11-21 12:43:20,no data,
2013-11-21 12:43:21,no data,
2013-11-21 12:43:22,no data,
2013-11-21 12:43:23,no data,
2013-11-21 12:43:24,no data,
2013-11-21 12:43:25,no data,
2013-11-21 12:43:26,no data,
2013-11-21 12:43:27,no data,
2013-11-21 12:43:28,no data,
2013-11-21 12:43:29,no data,
2013-11-21 12:43:30,no data,
2013-11-21 12:43:31,no data,
2013-11-21 12:43:32,no data,
2013-11-21 12:43:33,no data,
2013-11-21 12:43:34,no data,
2013-11-21 12:43:35,no data,
2013-11-21 12:43:36,no data,
2013-11-21 12:43:37,no data,
2013-11-21 12:43:38,no data,
2013-11-21 12:43:39,no data,
2013-11-21 12:43:40,no data,
2013-11-21 12:43:41,no data,
2013-11-21 12:43:42,no data,
2013-11-21 12:43:43,no data,
2013-11-21 12:43:44,no data,
2013-11-21 12:43:45,no data,
2013-11-21 12:43:46,no data,
2013-11-21 12:43:47,no data,
2013-11-21 12:43:48,no data,
2013-11-21 12:43:49,no data,
2013-11-21 12:43:50,no data,
2013-11-21 12:43:51,no data,
2013-11-21 12:43:52,no data,
2013-11-21 12:43:53,no data,
2013-11-21 12:43:54,no data,
2013-11-21 12:43:55,no data,
2013-11-21 12:43:56,no data,
